ID,CUSTOMER_ID,TYPE,CURRENCY,BALANCE,OPEN_DATE,STATUS
       ACCT_665Xk8zVR4     , CUST_KikTXd04Qy  ,     S      ,        EURO ,$618.490083388253       ,"      ""2012-12-04""   ",   ACTIVE      
ACCT_YIJuOlsfdH  ,  CUST_lf@WzWSrVP   ,  CHECKING,        eur   ,    '360.03956611514434'      ," ""07/03/2013"" ", ACTIVE  
       ACCT_-QqCpO5kqT    ,  CUST_PlP3dAMX-a  ,      VIRTUAL_WALLET,        EUR ,       $57.64365617931478        ,"     ""2015-08-30""     ",      Active
ACCT_kqwNlFNLjn     ,    CUST_1Pk7jcIpo9      ,        wallet,       eur    ,     $244.08046892989202  ,"     ""10/12/2017""     ",  Active       
     ACCT_fwkd_qX6WE   ,  CUST_F01psKUL@H      ,        W     ,   $US       ,"  ""966.2718520387991"" ","    ""2014-04-20"" ",ACTIVE      
    ACCT_J6_RfVUFxn        ,CUST_-4H@aHrZYm       ,        savings    ,        gbp ,"    ""2306.314299537616""      ","      ""2016-10-31""   ",    ACTIVE       
    ACCT_PLdE27Ocyk     ,      CUST_AI4LMJWxMq    ,        credit,eur        ,"    ""0.0""     ","""29-05-2021""",       Active      
ACCT_66sEEnaJRv   ,  CUST_4f4wOdObeq     ,      CR    ,  BRL     ,$3289.6913037415316   ," ""04/04/2015""  ", Active   
       ACCT_fyzNU6L2ll        ,    CUST_@RCjz96V_W  ,   CHECKING    ,   eur     ,"     ""3015.3440330797894""    "," ""07/02/2016"" ",     Active   
    ACCT_ePwVFXRb62      ,    CUST_Y3zdpYEI-L      ,       CR       ,       $R    ,"   ""0.0""    ","    ""07/06/2017""  ",  Active    
        ACCT_pf_UGP@xGj ,   CUST_kdXQP6dPUQ   ,    savings        ,MXN,"""0.0"" ","       ""2017-04-13"" ",       Blocked 
     ACCT_c_qeOj6ahx, CUST_sP@roeFt2o,     SAVINGS    ,  GBP     ,        $5949.060879685099        ,"   ""03/28/2021""       ",       ACTIVE    
      ACCT_n7yyp0XMvm ,   CUST_WAwgJ8Jjjk    ,     WALLET      ,   eur        ,  '1209.6321464334376' ,"     ""07/03/2022""    ",Active   
