TRANSACTION_ID,INVESTIGATION_COST,CUSTOMER_SUPPORT_COST,LOST_INTERCHANGE
TXN_b_5ycUAMrmN9,0.0,0.0,0.0
TXN_0u0-EsLKu8K1,0.0,0.0,0.0
TXN_cxB@v1ejnfFn,0.0,0.0,0.0
TXN_7gQOdtEbjHbX,0.0,0.0,0.0
TXN_R-TcIBXTCiW@,0.0,0.0,0.0
TXN_xPqu4YFOX6rQ,0.0,0.0,0.0
TXN_H43m5mPun785,0.0,0.0,0.0
TXN_tEcz47D7QFOo,0.0,0.0,0.0
TXN_XG3kvQ6aJNEq,0.0,0.0,0.0
TXN_n2FvMyA7IIYq,0.0,0.0,0.0
TXN_vvX92V9g9j2x,0.0,0.0,0.0
TXN_HL2Gmsv1TbSO,0.0,0.0,0.0
TXN_T1fwdccFEesX,0.0,0.0,0.0
TXN_BKzIeBs@cizr,0.0,0.0,0.0
TXN_Mty6vit7b-@e,0.0,0.0,0.0
TXN_nj8-LXflqaWu,0.0,0.0,0.0
TXN_FXpLOwHbIqg7,0.0,0.0,0.0
TXN_XMJxmGwKVdMB,0.0,0.0,0.0
TXN_sXy7x0hGgZtL,0.0,0.0,0.0
TXN_RBjUKzdaTn5f,0.0,0.0,0.0
TXN_AoAXPHJU8WaI,0.0,0.0,0.0
TXN_zBGdeaXvqr93,0.0,0.0,0.0
TXN_QoSibHFY7oiR,0.0,0.0,0.0
TXN_zH12lElivFAv,0.0,0.0,0.0
TXN_Wl_evVY@H-fG,0.0,0.0,0.0
TXN_B9DNgQ@J3pCX,0.0,0.0,0.0
TXN_Wn21VrMa@Mma,0.0,0.0,0.0
TXN_OSRZleLSzWiX,0.0,0.0,0.0
TXN_NPhrwIHyGAYL,0.0,0.0,0.0
TXN_20ZH8GR8q7yQ,0.0,0.0,0.0
TXN_Hpnk2gGg6NbA,87.08,59.05,4.89
TXN_Q5LR6G9V8cLu,0.0,0.0,0.0
TXN_0PPnnwG6DAR0,0.0,0.0,0.0
TXN_-PZ_fbuv0uh3,0.0,0.0,0.0
TXN_USWdyszdTntc,0.0,0.0,0.0
TXN_zMAoZXzr6IjA,0.0,0.0,0.0
TXN_C9EbL21xzLNG,0.0,0.0,0.0
TXN_DMbeexWFHtNJ,0.0,0.0,0.0
TXN_ySBUvdJ2HMqG,0.0,0.0,0.0
TXN_brEF1t@HKz4G,0.0,0.0,0.0
TXN_-GS0xFrlDwJA,0.0,0.0,0.0
TXN_ynGXQ8rB0MyC,0.0,0.0,0.0
TXN_AOlZOmygK_xp,0.0,0.0,0.0
TXN_7PCPLZ-cc-99,0.0,0.0,0.0
TXN_Za9oFMu-6oq3,0.0,0.0,0.0
TXN_xFlfq1fmSdHj,0.0,0.0,0.0
TXN_cR6n55_x29qw,0.0,0.0,0.0
TXN_ZnOQwady_sw6,0.0,0.0,0.0
TXN_mO4NigEHIcmb,0.0,0.0,0.0
TXN_A3-btQS_st75,0.0,0.0,0.0
TXN_VJvjgdwejv7C,0.0,0.0,0.0
TXN_O5TDnjiPYGNW,0.0,0.0,0.0
TXN_0IOIxQORKyWl,0.0,0.0,0.0
TXN_RUOSqMCa27dB,0.0,0.0,0.0
TXN_tze4mRlDi71G,0.0,0.0,0.0
TXN_rwAGXhay7mZ_,0.0,0.0,0.0
TXN_537IlV7VXCHU,0.0,0.0,0.0
TXN_uHT83rM_WaEI,0.0,0.0,0.0
TXN_WkciwVjf-zLp,0.0,0.0,0.0
TXN_7JL2MPdwOBL6,0.0,0.0,0.0
TXN_FL@@HUdLWD2-,0.0,0.0,0.0
TXN_RP3_b3iqTii6,0.0,0.0,0.0
TXN_4Con7d6ou9a4,0.0,0.0,0.0
TXN_XieaEX6ZONVw,0.0,0.0,0.0
TXN_x@lXFilqhisT,0.0,0.0,0.0
TXN_qba8VMoI3fzo,0.0,0.0,0.0
TXN_VFoSGa8dY4PF,0.0,0.0,0.0
TXN_2A7LLsg7OBMI,0.0,0.0,0.0
TXN_gqo1-73G6a2g,0.0,0.0,0.0
TXN_I39rr6aCw12d,71.87,25.54,1.47
TXN_MPNxuVC-3UGI,0.0,0.0,0.0
TXN_16@vbWS7fTrX,0.0,0.0,0.0
TXN_7BCQuY2-bU4_,0.0,0.0,0.0
TXN_CHc4dsL6Kh79,0.0,0.0,0.0
TXN_uCilad8X_YCQ,0.0,0.0,0.0
TXN_Dlb2cUgJ9o51,0.0,0.0,0.0
TXN_uk@EC5Pf_UE6,0.0,0.0,0.0
TXN_r5_GkB2cLtLc,0.0,0.0,0.0
TXN_mZbeTo1mAejA,0.0,0.0,0.0
TXN_KP8EHC8CwqM8,0.0,0.0,0.0
TXN_wh32AunIe5jj,0.0,0.0,0.0
TXN_zYrmtmyJY0@w,0.0,0.0,0.0
TXN_IuX9MKTHff8O,0.0,0.0,0.0
TXN_zsfJjauC8ILM,0.0,0.0,0.0
TXN_zCZuiOmFzJTg,0.0,0.0,0.0
TXN_lekrZdm2cEqz,0.0,0.0,0.0
TXN_btmSSB_k-Uee,0.0,0.0,0.0
TXN_4IXfjamZUpNL,0.0,0.0,0.0
TXN_LG0qdihYUWeG,0.0,0.0,0.0
TXN_rTqdf9gdaSEv,0.0,0.0,0.0
TXN_@HCVFjBTs@0b,0.0,0.0,0.0
TXN_i@8x@wYsdGdy,0.0,0.0,0.0
TXN_UwNHHxqIN7Mf,0.0,0.0,0.0
TXN_5iFN8rl87HJI,0.0,0.0,0.0
TXN_AuoKyg9k24sd,0.0,0.0,0.0
TXN_JIxjJBoB58ay,0.0,0.0,0.0
TXN_RorUUdvhq@QF,0.0,0.0,0.0
TXN_t8Rf3LYV7SL7,0.0,0.0,0.0
TXN_rztmS7miwGkP,0.0,0.0,0.0
TXN_9esh_1H_PpMh,0.0,0.0,0.0
TXN_u9-epPr16hBM,0.0,0.0,0.0
TXN_f4tOxYjHsPW6,0.0,0.0,0.0
TXN_dU9phLOv4rNR,0.0,0.0,0.0
TXN_5Gfyl@PSJG9q,0.0,0.0,0.0
TXN_5GvMbfKUQPdP,0.0,0.0,0.0
TXN_0IS6EQK8@BT2,0.0,0.0,0.0
TXN_@COXS0h4m6Tb,0.0,0.0,0.0
TXN_xP-sXZtI86Um,0.0,0.0,0.0
TXN_s2j@X_LNkgry,0.0,0.0,0.0
TXN_RynVZ386Inx9,0.0,0.0,0.0
TXN_M1ykC4t77xYh,0.0,0.0,0.0
TXN_1_IEzer4oCRO,0.0,0.0,0.0
TXN_cx0C28CLdGnq,0.0,0.0,0.0
TXN_Wh1ynrLgK@PB,0.0,0.0,0.0
TXN_S3CUgTcHRVim,0.0,0.0,0.0
TXN_bbI0zf@S9iwM,0.0,0.0,0.0
TXN_IIfQe7uSo9QV,0.0,0.0,0.0
TXN__jRyVcL3HyqT,0.0,0.0,0.0
TXN_mU0z0GaUYND@,0.0,0.0,0.0
TXN_wXS7clmh1pM8,0.0,0.0,0.0
TXN_CUIMldf@ZNWa,0.0,0.0,0.0
TXN_W@bnLqanTSI4,0.0,0.0,0.0
TXN_jqIn1qsBefrS,0.0,0.0,0.0
TXN_7SgvUKPgTsu4,0.0,0.0,0.0
TXN_L52@Jm-2qjuC,0.0,0.0,0.0
TXN_Z3TKTn5LUbt1,0.0,0.0,0.0
TXN_17cs2rEkWe@i,0.0,0.0,0.0
TXN_G2ZCWMLqTRyn,0.0,0.0,0.0
TXN_jiYuOS5j1cvQ,0.0,0.0,0.0
TXN_nVGXkjOQKyAM,0.0,0.0,0.0
TXN_ogmDj96wLnhP,0.0,0.0,0.0
TXN_Lx2SKDpx@AMD,0.0,0.0,0.0
TXN_Ob-TAqz38mMM,0.0,0.0,0.0
TXN_Ux@XM0aV4ubZ,0.0,0.0,0.0
TXN_CYCjjsIDMJe8,0.0,0.0,0.0
TXN_2ttJ0LcvTjlq,0.0,0.0,0.0
TXN_KT03UQBjw91A,0.0,0.0,0.0
TXN_dsgpfD1YkpgQ,0.0,0.0,0.0
TXN_iUBt63ztdG_V,0.0,0.0,0.0
TXN_31K@xBcOS9b@,0.0,0.0,0.0
TXN_m23YBFq8c7km,0.0,0.0,0.0
TXN_l2Bhx2rfZtCv,0.0,0.0,0.0
TXN_PJe8K23pHdJg,0.0,0.0,0.0
TXN_aAWSeeQ@on8U,0.0,0.0,0.0
TXN_xymL8R8DW3kB,0.0,0.0,0.0
TXN_yPVZ2UbkAm23,0.0,0.0,0.0
TXN_4@9F-BG1s8Eu,0.0,0.0,0.0
TXN_7JSbfjV66Hf3,0.0,0.0,0.0
TXN_Jo9WrXBNACyD,0.0,0.0,0.0
TXN_uJ7orDZT2ICI,0.0,0.0,0.0
TXN_G-5-e4DjzDBj,0.0,0.0,0.0
TXN_moST_kI5xm8C,0.0,0.0,0.0
TXN_FZzImLf34kKR,0.0,0.0,0.0
TXN_jXJh-Nw@rZnV,0.0,0.0,0.0
TXN_VtMlTdho-7p5,0.0,0.0,0.0
TXN_z1B@Qot@bd5h,0.0,0.0,0.0
TXN_kJTcV9@xbGgj,0.0,0.0,0.0
TXN_ECx4pB-TywZz,0.0,0.0,0.0
TXN_QEp3kUtSIZbS,0.0,0.0,0.0
TXN_uoyJWLtAYcN@,0.0,0.0,0.0
TXN_DZnHguOwvh2L,0.0,0.0,0.0
TXN_m3tMRxWLppmI,0.0,0.0,0.0
TXN_A0B2E4UUav5s,0.0,0.0,0.0
TXN_h-mNlz6Vheb5,0.0,0.0,0.0
TXN_KTi3X7vQFui8,0.0,0.0,0.0
TXN_bdrXn2kvIcnY,0.0,0.0,0.0
