TRANSACTION_ID,RANDOM_VALUE
TXN_b_5ycUAMrmN9,0.878794941
TXN_0u0-EsLKu8K1,0.240237527
TXN_cxB@v1ejnfFn,0.79290318
TXN_7gQOdtEbjHbX,0.356239949
TXN_R-TcIBXTCiW@,0.851833574
TXN_xPqu4YFOX6rQ,0.365721487
TXN_H43m5mPun785,0.706315
TXN_tEcz47D7QFOo,0.976009095
TXN_XG3kvQ6aJNEq,0.14753922
TXN_n2FvMyA7IIYq,0.145289321
TXN_vvX92V9g9j2x,0.249465958
TXN_HL2Gmsv1TbSO,0.614179819
TXN_T1fwdccFEesX,0.556841649
TXN_BKzIeBs@cizr,0.299530399
TXN_Mty6vit7b-@e,0.503000031
TXN_nj8-LXflqaWu,0.163043542
TXN_FXpLOwHbIqg7,0.231119207
TXN_XMJxmGwKVdMB,0.841503946
TXN_sXy7x0hGgZtL,0.518111023
TXN_RBjUKzdaTn5f,0.289357129
TXN_AoAXPHJU8WaI,0.571905798
TXN_zBGdeaXvqr93,0.429482845
TXN_QoSibHFY7oiR,0.802710444
TXN_zH12lElivFAv,0.57182691
TXN_Wl_evVY@H-fG,0.84332632
TXN_B9DNgQ@J3pCX,0.881285206
TXN_Wn21VrMa@Mma,0.33595999
TXN_OSRZleLSzWiX,0.425114198
TXN_NPhrwIHyGAYL,0.722397332
TXN_20ZH8GR8q7yQ,0.514728957
TXN_Hpnk2gGg6NbA,0.137667361
TXN_Q5LR6G9V8cLu,0.240268148
TXN_0PPnnwG6DAR0,0.122990252
TXN_-PZ_fbuv0uh3,0.074498191
TXN_USWdyszdTntc,0.161600849
TXN_zMAoZXzr6IjA,0.611390557
TXN_C9EbL21xzLNG,0.598426023
TXN_DMbeexWFHtNJ,0.10688853
TXN_ySBUvdJ2HMqG,0.323290319
TXN_brEF1t@HKz4G,0.874003705
TXN_-GS0xFrlDwJA,0.966810092
TXN_ynGXQ8rB0MyC,0.164168462
TXN_AOlZOmygK_xp,0.514535991
TXN_7PCPLZ-cc-99,0.410882911
TXN_Za9oFMu-6oq3,0.299816144
TXN_xFlfq1fmSdHj,0.182406884
TXN_cR6n55_x29qw,0.8015613
TXN_ZnOQwady_sw6,0.776918742
TXN_mO4NigEHIcmb,0.221875777
TXN_A3-btQS_st75,0.206827451
TXN_VJvjgdwejv7C,0.193376216
TXN_O5TDnjiPYGNW,0.874019556
TXN_0IOIxQORKyWl,0.606626449
TXN_RUOSqMCa27dB,0.137490793
TXN_tze4mRlDi71G,0.982534661
TXN_rwAGXhay7mZ_,0.637796204
TXN_537IlV7VXCHU,0.861438507
TXN_uHT83rM_WaEI,0.520935208
TXN_WkciwVjf-zLp,0.420614304
TXN_7JL2MPdwOBL6,0.351176234
TXN_FL@@HUdLWD2-,0.283071855
TXN_RP3_b3iqTii6,0.452136279
TXN_4Con7d6ou9a4,0.653801359
TXN_XieaEX6ZONVw,0.052284931
TXN_x@lXFilqhisT,0.581701966
TXN_qba8VMoI3fzo,0.213115955
TXN_VFoSGa8dY4PF,0.968103158
TXN_2A7LLsg7OBMI,0.404175389
TXN_gqo1-73G6a2g,0.8716145
TXN_I39rr6aCw12d,0.523367959
TXN_MPNxuVC-3UGI,0.898779813
TXN_16@vbWS7fTrX,0.294181932
TXN_7BCQuY2-bU4_,0.369909511
TXN_CHc4dsL6Kh79,0.220893451
TXN_uCilad8X_YCQ,0.501761175
TXN_Dlb2cUgJ9o51,0.908042528
TXN_uk@EC5Pf_UE6,0.67525895
TXN_r5_GkB2cLtLc,0.308459287
TXN_mZbeTo1mAejA,0.205625032
TXN_KP8EHC8CwqM8,0.876526985
TXN_wh32AunIe5jj,0.748949236
TXN_zYrmtmyJY0@w,0.614755092
TXN_IuX9MKTHff8O,0.409416069
TXN_zsfJjauC8ILM,0.828408225
TXN_zCZuiOmFzJTg,0.606815518
TXN_lekrZdm2cEqz,0.98796308
TXN_btmSSB_k-Uee,0.74416914
TXN_4IXfjamZUpNL,0.140263857
TXN_LG0qdihYUWeG,0.771680869
TXN_rTqdf9gdaSEv,0.874443652
TXN_@HCVFjBTs@0b,0.933988507
TXN_i@8x@wYsdGdy,0.317504718
TXN_UwNHHxqIN7Mf,0.510577108
TXN_5iFN8rl87HJI,0.194145886
TXN_AuoKyg9k24sd,0.839863428
TXN_JIxjJBoB58ay,0.229908726
TXN_RorUUdvhq@QF,0.781042514
TXN_t8Rf3LYV7SL7,0.769074325
TXN_rztmS7miwGkP,0.296699491
TXN_9esh_1H_PpMh,0.23558541
TXN_u9-epPr16hBM,0.086277292
TXN_f4tOxYjHsPW6,0.187686019
TXN_dU9phLOv4rNR,0.617393963
TXN_5Gfyl@PSJG9q,0.482067234
TXN_5GvMbfKUQPdP,0.233384489
TXN_0IS6EQK8@BT2,0.415271322
TXN_@COXS0h4m6Tb,0.085016664
TXN_xP-sXZtI86Um,0.495373185
TXN_s2j@X_LNkgry,0.134269057
TXN_RynVZ386Inx9,0.562925558
TXN_M1ykC4t77xYh,0.671660374
TXN_1_IEzer4oCRO,0.011945537
TXN_cx0C28CLdGnq,0.635261703
TXN_Wh1ynrLgK@PB,0.832812826
TXN_S3CUgTcHRVim,0.821425781
TXN_bbI0zf@S9iwM,0.000454188
TXN_IIfQe7uSo9QV,0.4900303
TXN__jRyVcL3HyqT,0.552527071
TXN_mU0z0GaUYND@,0.488322263
TXN_wXS7clmh1pM8,0.230421107
TXN_CUIMldf@ZNWa,0.069607654
TXN_W@bnLqanTSI4,0.108306458
TXN_jqIn1qsBefrS,0.657498136
TXN_7SgvUKPgTsu4,0.161287672
TXN_L52@Jm-2qjuC,0.015819347
TXN_Z3TKTn5LUbt1,0.030133821
TXN_17cs2rEkWe@i,0.091992409
TXN_G2ZCWMLqTRyn,0.776542699
TXN_jiYuOS5j1cvQ,0.002295992
TXN_nVGXkjOQKyAM,0.002979717
TXN_ogmDj96wLnhP,0.480882722
TXN_Lx2SKDpx@AMD,0.716047515
TXN_Ob-TAqz38mMM,0.597888807
TXN_Ux@XM0aV4ubZ,0.380821117
TXN_CYCjjsIDMJe8,0.551149328
TXN_2ttJ0LcvTjlq,0.427824163
TXN_KT03UQBjw91A,0.499101861
TXN_dsgpfD1YkpgQ,0.808903287
TXN_iUBt63ztdG_V,0.958948571
TXN_31K@xBcOS9b@,0.187376452
TXN_m23YBFq8c7km,0.874682882
TXN_l2Bhx2rfZtCv,0.250528831
TXN_PJe8K23pHdJg,0.231666711
TXN_aAWSeeQ@on8U,0.769046549
TXN_xymL8R8DW3kB,0.558343466
TXN_yPVZ2UbkAm23,0.856499641
TXN_4@9F-BG1s8Eu,0.348815907
TXN_7JSbfjV66Hf3,0.016143693
TXN_Jo9WrXBNACyD,0.487831955
TXN_uJ7orDZT2ICI,0.403793515
TXN_G-5-e4DjzDBj,0.554657915
TXN_moST_kI5xm8C,0.168711382
TXN_FZzImLf34kKR,0.418666385
TXN_jXJh-Nw@rZnV,0.332954688
TXN_VtMlTdho-7p5,0.144614926
TXN_z1B@Qot@bd5h,0.662270694
TXN_kJTcV9@xbGgj,0.380093344
TXN_ECx4pB-TywZz,0.060247981
TXN_QEp3kUtSIZbS,0.092319359
TXN_uoyJWLtAYcN@,0.660515797
TXN_DZnHguOwvh2L,0.88489996
TXN_m3tMRxWLppmI,0.542020953
TXN_A0B2E4UUav5s,0.037342893
TXN_h-mNlz6Vheb5,0.752523672
TXN_KTi3X7vQFui8,0.688705076
TXN_bdrXn2kvIcnY,0.022072939
TXN_W-jXhq-5CyrH,0.753760143
TXN_Bey@--18Yuq5,0.766810529
TXN_3fcRxp41oQ@k,0.535613128
TXN_QkokuJj0EjsF,0.522558018
TXN_c-zu85iUXB9P,0.154078236
TXN_8FHin@gOpf2Z,0.966937574
TXN_mwZ-gE71RcOZ,0.427555668
TXN_DAaFsWA28HWM,0.99140385
TXN_PsJ1LI0GyKy9,0.727769597
TXN_qOshIuUu7LJD,0.13809429
TXN_qVfC0azWUjI2,0.3151359
TXN_ZcaXoNGuWzhG,0.195669924
TXN_7jorr9XdKlz9,0.268516115
TXN_3uormuGa3YLP,0.017797674
TXN_kugdOW2YBM8Z,0.68146276
TXN_DYQopFWYZIle,0.785972563
TXN_4fZISx3VGdf9,0.609371214
TXN_fM6HO960UwzC,0.947873718
TXN_wgtdm_LEej-2,0.617159975
TXN_MqgrpxwsvzhU,0.147292846
TXN_RBF2Nc2P-0la,0.704986165
TXN_bdC4OhXg8L1J,0.720436252
TXN_k@KsV1mNR9Yy,0.611436033
TXN_kdW5Got6ZcyK,0.555788556
TXN_eoaEbCO702NW,0.470794338
TXN_2owiDlond0SC,0.802349763
TXN_PcVFbztbhffK,0.839283474
TXN_u-v20HX6gQg3,0.290796077
TXN_Wyx0wc9eKhww,0.516069855
TXN_-ZLUZzAsj71X,0.407297466
TXN_Mgbqm-t8Rojq,0.853623214
TXN_MvvtWaaAdsOe,0.190896138
TXN_HLVJE5t7gPni,0.629994246
TXN_NCOtMUPd30ve,0.28460265
TXN_MZXOPw0V3RUa,0.071839793
TXN_50pVzvlLfp61,0.035873871
TXN_NXw7Wb7Vtbx7,0.974092072
TXN_xQ9Eq4qX2DgG,0.476992321
TXN_Wq@nLjLvgd4v,0.612017023
TXN_G7219_VKprq9,0.994745253
TXN_4f@5SejOwD1Y,0.869260043
TXN_sHOE-62ISHKU,0.218058481
TXN_RMlBdPWpTUUf,0.750920482
TXN_xrGQ9FABfwDk,0.631361432
TXN_moA-B9tGCqdZ,0.272358386
TXN_IFHCR7_FKX@Z,0.666310542
TXN_c3YJzFl1ueoo,0.044451604
TXN_EsNZrJS66jEs,0.16642617
TXN_58gseAfFRlVZ,0.843090412
TXN_2H8Hqm47RTPc,0.408590101
TXN_wMoS4X5PNYS9,0.332453147
TXN_XF-YpNsXdQ7b,0.574480686
TXN_CdJ7Mcb0jvQ-,0.433355428
TXN_PJA051p2JoPl,0.334130711
TXN_GeW3kV1NyCh-,0.739534478
TXN__26iXpBNCF51,0.990972874
TXN_nslnMVwqx4TI,0.449524239
TXN_MtenBhQePz6R,0.683495166
TXN_9LbKEZCNM6@w,0.273652006
TXN_PxRc3Umfk11g,0.838488169
TXN_-qYvDVMMS3ZT,0.44865606
TXN_htUzPJVXmD13,0.442514586
TXN_YFTXnusc3f61,0.262776342
TXN_i17B3Xb4iw1t,0.741220481
TXN_Rqln@Pb5ji0D,0.57428393
TXN_yj8HAYZOoH25,0.657361965
TXN_0MjxZE9IcAHp,0.619418251
TXN_plUTDffBUMZW,0.250499745
TXN_6Tfgqmf7-Yza,0.267490466
TXN_Mk_KWn3gzB0k,0.668226795
TXN_Ktba549n44bh,0.08491548
TXN_BB94cNB6QzCV,0.525028072
TXN_uAP18VpdTRpT,0.989531804
TXN_C_ROt-LzBjXq,0.907914859
TXN_X5vFuGfVjMz4,0.611623549
