ID,CUSTOMER_ID,TYPE,CURRENCY,BALANCE,OPEN_DATE,STATUS
ACCT_T5E58JX_jQ,CUST_nSAL5wnIcg,CHECKING,USD,301.14,2014-04-03,ACTIVE
ACCT_2OemuzKXTo,CUST_7HIXIJndDl,SAVINGS,GBP,6283.580799331792,2019-10-20,ACTIVE
ACCT_wjZH17FdkW,CUST_yut4nMfDWw,SAVINGS,EUR,0.0,2017-09-23,ACTIVE
ACCT_Hh9P_MuMSF,CUST_vIfWX7JREs,SAVINGS,USD,5935.619296242907,2019-12-07,ACTIVE
ACCT_4W47PASSqv,CUST_5tG0yT@sCi,WALLET,MXN,648.6530484504533,2020-12-03,ACTIVE
ACCT_HTE2s62i_X,CUST_gNrnrDops@,CHECKING,MXN,772.15,2014-03-15,ACTIVE
ACCT_X7jdOCDT@4,CUST_m7N1nsvRh9,WALLET,EUR,0.0,2014-05-01,ACTIVE
ACCT_bRPTLi4@jz,CUST_l6YbJ8-S4D,CHECKING,GBP,80.13,2020-02-19,INACTIVE
ACCT_aGwBVm5Cxu,CUST_2Js96NgblV,WALLET,BRL,0.0,2025-11-26,ACTIVE
ACCT_PVq1Q_C4vg,CUST_3W-_CN-wFK,CHECKING,EUR,0.0,2015-04-18,ACTIVE
ACCT_C9nCIi7gBN,CUST_yM9Cng_PeZ,CHECKING,EUR,80.04355971957955,2017-08-05,ACTIVE
ACCT_jpSgX-ABkI,CUST_b_BvQ5O5sC,CREDIT,GBP,0.0,2020-02-22,ACTIVE
ACCT_Q_7Nc_PVmk,CUST_-GeQ3WXu5X,SAVINGS,USD,0.0,2014-07-02,ACTIVE
ACCT_fsYVBhdCmU,CUST_zRqWIB2FyL,SAVINGS,MXN,1558.175967785112,2019-12-07,ACTIVE
ACCT_AwKWUvqi@M,CUST_fNPA-ycmya,SAVINGS,EUR,0.0,2021-03-25,BLOCKED
ACCT_hcSTcAPDlD,CUST_OXH-OiPeFn,CREDIT,EUR,0.0,2021-08-20,ACTIVE
ACCT_tR2IcIs1AR,CUST_uLl7KJpFvL,WALLET,MXN,1231.6376710869883,2016-07-31,ACTIVE
ACCT_cegMu40ouD,CUST_iqyjwAeIeu,SAVINGS,USD,5360.79,2022-09-01,INACTIVE
ACCT_OU-5T1HLJX,CUST_rGD9C2nWN8,CREDIT,BRL,0.0,2017-05-30,ACTIVE
ACCT_Ep2nvFqm1L,CUST_xSuadSgeID,WALLET,EUR,0.0,2020-02-08,ACTIVE
ACCT_IqhaJLO6a-,CUST_cr6dGA5Kkk,CREDIT,USD,13818.709946931665,2012-04-21,ACTIVE
ACCT_YmbHIHm2yR,CUST_M_6fFt9HAB,SAVINGS,MXN,0.0,2022-02-12,ACTIVE
ACCT_GlAL5XY4cc,CUST_KHPhISPYeb,WALLET,EUR,0.0,2013-02-23,ACTIVE
ACCT_CPK3Ey7_h_,CUST_BJ@w8b5trc,CHECKING,BRL,0.0,2023-12-31,ACTIVE
ACCT_21ebf-joXn,CUST_EPZP-mgmAs,VIRTUAL_WALLET,USD,613.5431894265469,2020-06-23,ACTIVE
ACCT_KEEAnFiZit,CUST__znfmN11b9,SAVINGS,EUR,8343.769572548432,2019-04-19,BLOCKED
ACCT_ur3LfsmyV@,CUST_jsvKtQ1O6F,WALLET,EUR,0.0,2017-12-15,ACTIVE
ACCT_TASuveUvfT,CUST_DKe2Y-cy0J,WALLET,EUR,435.03,2014-10-16,ACTIVE
ACCT_@fsGa1Le6z,CUST_0PoU1wZXA4,CHECKING,EUR,474.91584213442593,2014-03-14,ACTIVE
ACCT_7LVJen4vsP,CUST_c1XnzhyzUS,VIRTUAL_WALLET,USD,179.50497746359156,2018-12-16,ACTIVE
ACCT_218V0KTDoF,CUST__yXO4lnnJq,SAVINGS,USD,6360.580148916619,2020-11-21,ACTIVE
ACCT_q3lmmF1EeY,CUST_Uu4v1N77Y2,WALLET,USD,237.75,2015-11-18,ACTIVE
ACCT_uw6Yt@6FPh,CUST_z71X2eyl-9,SAVINGS,MXN,649.19,2014-04-25,ACTIVE
ACCT_VqyCmvA-Fn,CUST_N3KrjWxg24,WALLET,USD,951.6824126727398,2017-07-19,ACTIVE
ACCT_Iw0lIOKwJr,CUST_QUhbt1uI0g,VIRTUAL_WALLET,MXN,112.4116307436694,2023-06-27,ACTIVE
ACCT_K-_J@Yd9fo,CUST_EY-4lHewxK,CHECKING,EUR,1615.27,2020-08-26,ACTIVE
ACCT_RIL4jElD8d,CUST_R-WEajskxU,VIRTUAL_WALLET,USD,0.0,2021-08-02,ACTIVE
ACCT_pg5cmjo-pJ,CUST_vI5rtv_nOy,WALLET,MXN,843.6873927421378,2013-06-16,ACTIVE
ACCT_7R7Bvs6r9u,CUST_5XdmvAJSDK,CHECKING,USD,2696.443290977016,2018-07-25,ACTIVE
ACCT_kNPLdjIC-y,CUST_hV4uMCk8q3,VIRTUAL_WALLET,EUR,0.0,2015-12-30,ACTIVE
ACCT_h0tcqFAb9K,CUST_dh5Rfz1XuR,CHECKING,EUR,2821.6769214150772,2020-03-19,ACTIVE
ACCT_wYT39BEa4S,CUST_XiOnbpg7kR,CREDIT,MXN,9741.55781399476,2024-03-23,ACTIVE
ACCT_8bqaes_hBy,CUST_L9ZWM5@yZp,WALLET,EUR,1237.9248122103725,2015-09-28,ACTIVE
ACCT_DOt@2TxIJW,CUST_kjtdAM9QbP,VIRTUAL_WALLET,EUR,0.00,2016-05-20,ACTIVE
ACCT_05-u9dZj08,CUST_nRLeSIAkH1,CHECKING,USD,817.69,2015-10-22,ACTIVE
ACCT_Mr-4cCyd_l,CUST_ZqcWzogrXj,CHECKING,EUR,337.7209769653627,2018-05-30,ACTIVE
ACCT_syQ7eRxsra,CUST_pR9mpdKW2e,SAVINGS,MXN,2812.3179213973754,2013-10-19,ACTIVE
ACCT_ro4P9@CbRR,CUST_WRimNgB@tn,SAVINGS,EUR,4845.049603824969,2021-04-22,ACTIVE
ACCT_5ybi1w5pa4,CUST_K-a_GCLQD0,VIRTUAL_WALLET,USD,775.6250902710293,2020-09-07,ACTIVE
ACCT_HUcx5-BXYM,CUST_T1FPRiOW@B,CHECKING,USD,304.1501679326954,2014-02-06,ACTIVE
ACCT_-OSTVoE5Oq,CUST_VIKKex4C4C,WALLET,GBP,81.38,2024-08-25,INACTIVE
ACCT_MEse2RanoP,CUST_wjonId3XGO,CREDIT,USD,0.0,2023-04-20,ACTIVE
ACCT_z49tmBhHna,CUST_@2TFUFvE@O,WALLET,USD,1229.0063486059655,2016-08-05,INACTIVE
ACCT_jM0mgc@IlF,CUST_7vFpx3Ia7x,SAVINGS,EUR,4894.0091857128555,2020-07-05,BLOCKED
ACCT___yI4niah5,CUST_54eLt4Q6mZ,CHECKING,MXN,5219.790352596098,2015-05-18,ACTIVE
ACCT_5bxBZXAPcl,CUST_K8Q5TJ8J2b,CREDIT,EUR,568.2902414853553,2019-09-25,ACTIVE
ACCT_ERc-Tq-Pzd,CUST_jJRWklyTXo,WALLET,USD,0.0,2019-05-14,INACTIVE
ACCT_ByQ9C8yiRo,CUST_vIgKHv3L56,WALLET,EUR,0.00,2017-07-28,ACTIVE
ACCT_OGsfoYEQ6R,CUST_MZ7FsWiI6P,VIRTUAL_WALLET,GBP,275.41360530879626,2022-03-30,ACTIVE
ACCT_5@_tfBx1Q8,CUST_A0C67cTbgX,SAVINGS,GBP,0.00,2015-07-04,ACTIVE
ACCT_jopjsK2mGQ,CUST_oRvRZeFu1@,CHECKING,GBP,0.00,2019-09-17,ACTIVE
ACCT_n_XKTYcwlh,CUST_8b@Q_p-9ap,WALLET,EUR,663.2708646013058,2013-03-02,ACTIVE
ACCT_SJ6Y2RLHb@,CUST_euqyJIp_W_,CREDIT,USD,0.0,2016-02-03,ACTIVE
ACCT_2-NreZ7c5k,CUST_zpCeGB0Xdz,CHECKING,BRL,1048.91,2024-04-03,INACTIVE
ACCT_gIb_USWQxf,CUST_3q6DMud7VZ,WALLET,BRL,523.6861462131329,2015-06-18,ACTIVE
ACCT__skZzxRfmw,CUST_tnuZRExBz2,CHECKING,EUR,4340.95,2017-01-12,ACTIVE
ACCT_5FOXmvKjh1,CUST_IdggdwzE4B,SAVINGS,MXN,5711.37,2014-01-07,ACTIVE
ACCT_MG_gkprGtZ,CUST_h2pKxh6O6f,VIRTUAL_WALLET,GBP,267.1058554012943,2018-08-20,ACTIVE
ACCT_EQXrp7fO-L,CUST_h2iC8elxo9,SAVINGS,MXN,11161.243909882081,2016-10-28,ACTIVE
ACCT_Ye5MnBfc1h,CUST_gY8TMgoy7j,SAVINGS,MXN,6911.30,2020-08-07,ACTIVE
ACCT_iP@WpFyyG7,CUST_RGokrDMpfW,CHECKING,EUR,4073.04,2018-01-01,ACTIVE
ACCT_LoR4CJjo7@,CUST_ke4IwXxJem,CREDIT,EUR,0.0,2019-01-20,ACTIVE
ACCT_M55Aariz9Z,CUST_atw_hbgVHE,CREDIT,USD,8383.08,2015-07-10,ACTIVE
ACCT_Cx3YKN3OB6,CUST_kf3BLm-OHW,CREDIT,MXN,0.0,2024-05-18,INACTIVE
ACCT_WSGlFUOE6V,CUST_djWNdU_q_u,VIRTUAL_WALLET,EUR,324.5981581637836,2020-07-29,ACTIVE
ACCT_AiYkW@ySPr,CUST_BtpayAKzkV,SAVINGS,EUR,1568.1532874242375,2014-05-01,ACTIVE
