TRANSACTION_ID,INVESTIGATION_COST,CUSTOMER_SUPPORT_COST,LOST_INTERCHANGE
TXN_XQy0sN@S6jsY,-46.34,-49.42,-42.99
TXN_OgXLcPod4naa,-30.71,-31.38,-48.65
TXN_67f4bc-Cz3AS,-47.21,-47.23,-45.92
TXN_vwRiMg3szxEa,-48.61,-37.23,-34.54
TXN_6NbHpiQMiyVp,-37.91,-40.15,-31.89
TXN_yNHcOKtxJbBJ,-32.31,-32.45,-44.32
TXN_lgAISDJmoTUO,-43.2,-44.25,-30.29
TXN_M7SP3VW15mux,-31.85,-44.19,-44.88
TXN_KLP@HA2-CpZa,-47.56,-36.71,-41.5
TXN_XZm0kiQes8s6,-40.7,-31.49,-40.71
TXN_gsLhHHTUniZK,-41.24,-33.31,-40.53
TXN_aY8y9DTa7gKi,-39.26,-36.67,-37.25
TXN_yVhXb9BipoGd,2.61,9.04,0.71
TXN_9@spytAmi_89,-42.77,-47.7,-37.09
TXN_sX2VZ9gL@DnY,-41.66,-47.44,-49.92
TXN_n8iiD1DgC1u-,-44.56,-46.14,-33.49
TXN_G@Ll@khRbVVj,-45,-31.5,-31.63
TXN_mA6KOd_Sv7jF,-33.7,-35.28,-46
TXN_RmOP8YDBt6Ue,-37.52,-30.04,-48.56
TXN_-6B-SHoovk@C,-35.53,-31.44,-39.03
TXN_jfzo@GRoE8Gy,-42.81,-45.34,-30.98
TXN_wR2BuqNvLWzu,-30.73,-32.06,-35.9
TXN_TeewSLYG5mQK,10.6,22.62,3.51
TXN_jw@DIQhAum7V,-40.24,-30.48,-35.77
TXN_JYqikveoADl_,-36.41,-41.28,-41.68
TXN_rW5v6x@_@1bE,-37.58,-40.22,-38.86
TXN_JDF0VPUXs@z@,-34.96,-46.11,-42.05
TXN_MtQnM0C9qvUQ,-45.62,-38.33,-40.39
TXN_0gpSqBWdg8Xt,-37.56,-39.96,-40.67
TXN_PfjO-SLa3@@L,-39.54,-32.19,-41.03
TXN_7hFW7rkpnVMV,-36.04,-33.33,-38.74
TXN_OoigNbfzpdj0,-32.92,-36.09,-40.82
TXN_QirvENTU5MzE,-46.16,-36.89,-40.38
TXN_vBEu4DAEcZND,-41.97,-47.65,-41.98
TXN_0UEsXuoTvUw-,-43.21,-37.61,-37.98
TXN_76Nn3QoHSK0I,-41.25,-49.2,-41.28
TXN_CyUY836BdLSK,-49.98,-38.43,-30.75
TXN_xI2IZC0iXDpx,-48.16,-33.59,-39.99
TXN_uZT2e6dDtpWe,-30.88,-31.71,-34.46
